Timestamp,PM2.5,PM10,tvoc,eCO2_sgp,rawMQ135,MiCs-2714 Approx ppm value,Temperature (AHT-10),Humidity % (AHT10),Activity
2025-09-26 13:20:23,39.02,55.25,27,392,3193,0.69,28.02,79.25,Light Work
2025-09-26 13:20:28,39.36,51.67,36,399,3166,0.48,28.15,79.03,Light Work
2025-09-26 13:20:33,37.52,52.82,35,421,3191,0.30,27.73,79.55,Light Work
2025-09-26 13:20:38,38.43,50.10,16,443,3194,0.63,28.07,80.14,Light Work
2025-09-26 13:20:43,37.16,52.64,27,431,3095,0.73,27.79,78.81,Light Work
2025-09-26 13:20:48,37.65,51.30,30,441,3075,0.33,27.81,78.50,Light Work
2025-09-26 13:20:53,37.07,51.41,40,447,3127,0.40,27.57,80.37,Light Work
2025-09-26 13:20:58,35.85,52.27,31,467,3121,0.70,27.66,78.49,Light Work
2025-09-26 13:21:03,36.37,52.13,33,451,3100,0.44,27.49,79.75,Light Work
2025-09-26 13:21:08,34.88,47.90,41,488,3084,0.82,27.54,80.39,Light Work
2025-09-26 13:21:13,34.42,50.93,35,455,3114,0.52,27.53,80.03,Light Work
2025-09-26 13:21:18,35.44,46.46,46,471,3027,0.46,27.54,79.81,Light Work
2025-09-26 13:21:23,33.75,49.62,33,483,3059,0.80,27.75,80.00,Light Work
2025-09-26 13:21:28,34.21,46.58,42,470,3013,0.58,27.61,79.88,Light Work
2025-09-26 13:21:33,34.12,45.79,37,481,2987,0.60,27.63,78.16,Light Work
2025-09-26 13:21:38,33.65,48.20,50,485,3055,0.49,27.49,79.52,Light Work
2025-09-26 13:21:43,32.74,47.53,55,500,3007,0.50,27.31,78.70,Light Work
2025-09-26 13:21:48,33.85,45.16,47,491,3010,0.65,27.52,79.60,Light Work
2025-09-26 13:21:53,32.02,47.22,47,490,2951,0.52,27.52,79.08,Light Work
2025-09-26 13:21:58,31.49,46.11,42,538,2988,0.87,27.44,79.86,Light Work
2025-09-26 13:22:03,31.71,46.29,60,524,2978,0.89,27.38,80.08,Light Work
2025-09-26 13:22:08,32.58,44.41,53,535,2951,0.54,27.14,79.24,Light Work
2025-09-26 13:22:13,31.16,41.60,54,528,2960,0.51,27.05,78.14,Light Work
